Chamber,Start Time,End Time
SC,0,460.76666666666665
SC,467.1333333333333,474.6333333333333
SC,480.2,496.06666666666666
SC,508.76666666666665,605.8333333333334
SC,729.4,732.0666666666667
SC,776.3333333333334,830.7
SC,835.5666666666667,839.8333333333334
SC,843.4666666666667,845.3
SC,845.3,907.8333333333334
Neither,460.76666666666665,467.1333333333333
Neither,474.6333333333333,480.2
Neither,496.06666666666666,508.76666666666665
Neither,605.8333333333334,729.4
Neither,732.0666666666667,776.3333333333334
Neither,830.7,835.5666666666667
Neither,839.8333333333334,843.4666666666667
