Chamber,Start Time,End Time,Average Time
Neither,0,22.433333333333334,46.5897435897436
Neither,22.433333333333334,46.93333333333333,46.5897435897436
NSC,46.93333333333333,73.3,25.71666666666667
Neither,73.3,99.53333333333333,46.5897435897436
Neither,99.53333333333333,156.16666666666666,46.5897435897436
SC,156.16666666666666,176.23333333333332,35.06666666666665
Neither,176.23333333333332,186.1,46.5897435897436
SC,186.1,204.63333333333333,35.06666666666665
SC,204.63333333333333,251.63333333333333,35.06666666666665
NSC,251.63333333333333,276.53333333333336,25.71666666666667
NSC,276.53333333333336,310.3666666666667,25.71666666666667
Neither,310.3666666666667,330.4,46.5897435897436
Neither,330.4,342.93333333333334,46.5897435897436
SC,342.93333333333334,440.9,35.06666666666665
Neither,440.9,452.5,46.5897435897436
NSC,452.5,470.26666666666665,25.71666666666667
Neither,470.26666666666665,494.1333333333333,46.5897435897436
Neither,494.1333333333333,510.56666666666666,46.5897435897436
Neither,510.56666666666666,523.1333333333333,46.5897435897436
SC,523.1333333333333,539.5,35.06666666666665
Neither,539.5,712.0666666666667,46.5897435897436
SC,712.0666666666667,722.5333333333333,35.06666666666665
Neither,722.5333333333333,918.9333333333333,46.5897435897436
