Chamber,Start Time,End Time,Average Time
SC,0,460.76666666666665,78.45555555555558
Neither,460.76666666666665,467.1333333333333,25.216666666666654
SC,467.1333333333333,474.6333333333333,78.45555555555558
Neither,474.6333333333333,480.2,25.216666666666654
SC,480.2,496.06666666666666,78.45555555555558
Neither,496.06666666666666,508.76666666666665,25.216666666666654
SC,508.76666666666665,605.8333333333334,78.45555555555558
Neither,605.8333333333334,729.4,25.216666666666654
SC,729.4,732.0666666666667,78.45555555555558
Neither,732.0666666666667,776.3333333333334,25.216666666666654
SC,776.3333333333334,830.7,78.45555555555558
Neither,830.7,835.5666666666667,25.216666666666654
SC,835.5666666666667,839.8333333333334,78.45555555555558
Neither,839.8333333333334,843.4666666666667,25.216666666666654
SC,843.4666666666667,844.5333333333333,78.45555555555558
Neither,844.5333333333333,845.3,25.216666666666654
SC,845.3,907.8333333333334,78.45555555555558
