Chamber,Start Time,End Time
NSC,0,113.63333333333334
NSC,113.63333333333334,121.63333333333334
Neither,121.63333333333334,141.9
NSC,141.9,151.33333333333334
NSC,151.33333333333334,163.46666666666667
NSC,163.46666666666667,176.63333333333333
NSC,176.63333333333333,186.16666666666666
Neither,186.16666666666666,191.23333333333332
NSC,191.23333333333332,206.4
NSC,206.4,222.2
NSC,222.2,262.76666666666665
Neither,262.76666666666665,269.26666666666665
NSC,269.26666666666665,276.7
Neither,276.7,285.03333333333336
NSC,285.03333333333336,300.26666666666665
Neither,300.26666666666665,308.46666666666664
Neither,308.46666666666664,329.96666666666664
Neither,329.96666666666664,337.2
Neither,337.2,348.46666666666664
Neither,348.46666666666664,356.06666666666666
NSC,356.06666666666666,388.3
Neither,388.3,395.7
NSC,395.7,423.26666666666665
Neither,423.26666666666665,429.3
NSC,429.3,450.4
Neither,450.4,460.9
NSC,460.9,470.26666666666665
Neither,470.26666666666665,486.2
Neither,486.2,498.96666666666664
Neither,498.96666666666664,504.03333333333336
NSC,504.03333333333336,510.5
Neither,510.5,518.1
NSC,518.1,527.1666666666666
NSC,527.1666666666666,532.4
Neither,532.4,547.3
Neither,547.3,600.5666666666667
NSC,600.5666666666667,616.4333333333333
Neither,616.4333333333333,623.8333333333334
NSC,623.8333333333334,635.1333333333333
Neither,635.1333333333333,669.3666666666667
NSC,669.3666666666667,678.5666666666667
Neither,678.5666666666667,684.4333333333333
NSC,684.4333333333333,699.8666666666667
NSC,699.8666666666667,730.2
NSC,730.2,737.3666666666667
Neither,737.3666666666667,747.3666666666667
NSC,747.3666666666667,755.1666666666666
Neither,755.1666666666666,763.6
NSC,763.6,774.2333333333333
Neither,774.2333333333333,790.7333333333333
Neither,790.7333333333333,803.7333333333333
NSC,803.7333333333333,813.8
Neither,813.8,826.6
NSC,826.6,833.2
Neither,833.2,845.3333333333334
Neither,845.3333333333334,862.0
NSC,862.0,869.1
Neither,869.1,900.6666666666666
NSC,900.6666666666666,905.7333333333333
