Chamber,Start Time,End Time,Average Time
Neither,0,320.06666666666666,48.614285714285735
NSC,320.06666666666666,511.5,138.17499999999995
Neither,511.5,513.3666666666667,48.614285714285735
NSC,513.3666666666667,647.5333333333333,138.17499999999995
Neither,647.5333333333333,650.7666666666667,48.614285714285735
SC,650.7666666666667,653.8,3.3111111111110936
Neither,653.8,656.7,48.614285714285735
SC,656.7,661.1,3.3111111111110936
Neither,661.1,661.2,48.614285714285735
SC,661.2,663.7,3.3111111111110936
Neither,663.7,672.8,48.614285714285735
NSC,672.8,678.6666666666666,138.17499999999995
Neither,678.6666666666666,681.7,48.614285714285735
NSC,681.7,902.9333333333333,138.17499999999995
