Chamber,Start Time,End Time,Average Time
NSC,0,65.0,46.02424242424242
Neither,65.0,88.8,29.44333333333334
NSC,88.8,108.96666666666667,46.02424242424242
NSC,108.96666666666667,133.26666666666668,46.02424242424242
Neither,133.26666666666668,174.1,29.44333333333334
Neither,174.1,189.53333333333333,29.44333333333334
Neither,189.53333333333333,208.83333333333334,29.44333333333334
NSC,208.83333333333334,225.4,46.02424242424242
NSC,225.4,274.96666666666664,46.02424242424242
NSC,274.96666666666664,315.1333333333333,46.02424242424242
NSC,315.1333333333333,331.23333333333335,46.02424242424242
Neither,331.23333333333335,346.9,29.44333333333334
SC,346.9,392.3666666666667,29.125
Neither,392.3666666666667,407.03333333333336,29.44333333333334
SC,407.03333333333336,415.23333333333335,29.125
Neither,415.23333333333335,433.6666666666667,29.44333333333334
Neither,433.6666666666667,469.6666666666667,29.44333333333334
SC,469.6666666666667,481.1,29.125
Neither,481.1,494.0,29.44333333333334
SC,494.0,545.4,29.125
NSC,545.4,614.6,46.02424242424242
NSC,614.6,697.4333333333333,46.02424242424242
Neither,697.4333333333333,794.8333333333334,29.44333333333334
NSC,794.8333333333334,864.5,46.02424242424242
NSC,864.5,917.2,46.02424242424242
