Chamber,Start Time,End Time
SC,0,1.6333333333333333
Neither,1.6333333333333333,21.2
SC,21.2,29.9
SC,29.9,49.5
SC,49.5,56.233333333333334
SC,56.233333333333334,68.33333333333333
SC,68.33333333333333,100.66666666666667
SC,100.66666666666667,119.3
SC,119.3,132.3
SC,132.3,138.23333333333332
SC,138.23333333333332,156.1
SC,156.1,175.2
SC,175.2,185.93333333333334
SC,185.93333333333334,231.43333333333334
Neither,231.43333333333334,245.86666666666667
NSC,245.86666666666667,259.6
NSC,259.6,270.3666666666667
NSC,270.3666666666667,290.46666666666664
NSC,290.46666666666664,298.3333333333333
NSC,298.3333333333333,322.5
NSC,322.5,358.4
NSC,358.4,370.56666666666666
NSC,370.56666666666666,382.6333333333333
Neither,382.6333333333333,399.5
NSC,399.5,457.53333333333336
NSC,457.53333333333336,522.0333333333333
Neither,522.0333333333333,531.2666666666667
NSC,531.2666666666667,537.2333333333333
Neither,537.2333333333333,542.5666666666667
NSC,542.5666666666667,574.1
Neither,574.1,585.2666666666667
Neither,585.2666666666667,595.3333333333334
Neither,595.3333333333334,613.0666666666667
NSC,613.0666666666667,626.0666666666667
NSC,626.0666666666667,637.7666666666667
NSC,637.7666666666667,653.5
NSC,653.5,678.7666666666667
NSC,678.7666666666667,691.3333333333334
Neither,691.3333333333334,721.5666666666667
Neither,721.5666666666667,733.6666666666666
Neither,733.6666666666666,750.0333333333333
NSC,750.0333333333333,768.4333333333333
NSC,768.4333333333333,782.0333333333333
NSC,782.0333333333333,790.5333333333333
NSC,790.5333333333333,805.0666666666667
NSC,805.0666666666667,825.4333333333333
NSC,825.4333333333333,855.3
Neither,855.3,879.6666666666666
SC,879.6666666666666,905.9
SC,905.9,924.8333333333334
SC,924.8333333333334,927.7
