Chamber,Start Time,End Time,Average Time
NSC,0,41.733333333333334,24.925925925925917
NSC,41.733333333333334,91.33333333333333,24.925925925925917
Neither,91.33333333333333,108.7,46.07692307692308
NSC,108.7,135.56666666666666,24.925925925925917
Neither,135.56666666666666,198.73333333333332,46.07692307692308
Neither,198.73333333333332,238.43333333333334,46.07692307692308
NSC,238.43333333333334,250.23333333333332,24.925925925925917
NSC,250.23333333333332,301.6333333333333,24.925925925925917
Neither,301.6333333333333,358.46666666666664,46.07692307692308
Neither,358.46666666666664,373.23333333333335,46.07692307692308
NSC,373.23333333333335,387.1,24.925925925925917
Neither,387.1,443.8333333333333,46.07692307692308
Neither,443.8333333333333,552.4666666666667,46.07692307692308
NSC,552.4666666666667,572.6333333333333,24.925925925925917
Neither,572.6333333333333,668.8,46.07692307692308
NSC,668.8,677.6666666666666,24.925925925925917
Neither,677.6666666666666,711.1666666666666,46.07692307692308
Neither,711.1666666666666,733.1666666666666,46.07692307692308
SC,733.1666666666666,741.4333333333333,31.866666666666674
Neither,741.4333333333333,762.4333333333333,46.07692307692308
SC,762.4333333333333,802.2333333333333,31.866666666666674
SC,802.2333333333333,849.7666666666667,31.866666666666674
Neither,849.7666666666667,881.0,46.07692307692308
Neither,881.0,918.9,46.07692307692308
NSC,918.9,918.9333333333333,24.925925925925917
