Chamber,Start Time,End Time,Average Time
NSC,0,145.9,181.85555555555558
Neither,145.9,164.03333333333333,19.516666666666662
SC,164.03333333333333,203.33333333333334,20.26666666666666
SC,203.33333333333334,212.36666666666667,20.26666666666666
SC,212.36666666666667,242.63333333333333,20.26666666666666
SC,242.63333333333333,278.23333333333335,20.26666666666666
Neither,278.23333333333335,299.6333333333333,19.516666666666662
Neither,299.6333333333333,312.2,19.516666666666662
SC,312.2,329.73333333333335,20.26666666666666
Neither,329.73333333333335,342.8333333333333,19.516666666666662
NSC,342.8333333333333,445.53333333333336,181.85555555555558
Neither,445.53333333333336,456.6333333333333,19.516666666666662
SC,456.6333333333333,471.1333333333333,20.26666666666666
SC,471.1333333333333,487.7,20.26666666666666
SC,487.7,507.26666666666665,20.26666666666666
SC,507.26666666666665,519.5333333333333,20.26666666666666
Neither,519.5333333333333,560.3333333333334,19.516666666666662
SC,560.3333333333334,585.8666666666667,20.26666666666666
SC,585.8666666666667,597.5333333333333,20.26666666666666
SC,597.5333333333333,606.5666666666667,20.26666666666666
SC,606.5666666666667,629.1666666666666,20.26666666666666
NSC,629.1666666666666,926.1333333333333,181.85555555555558
