Chamber,Start Time,End Time,Average Time
NSC,0,137.8,56.37666666666668
Neither,137.8,140.2,3.7520833333333368
NSC,140.2,145.9,56.37666666666668
Neither,145.9,156.66666666666666,3.7520833333333368
SC,156.66666666666666,162.7,10.534782608695641
Neither,162.7,164.03333333333333,3.7520833333333368
SC,164.03333333333333,203.13333333333333,10.534782608695641
Neither,203.13333333333333,203.33333333333334,3.7520833333333368
SC,203.33333333333334,212.33333333333334,10.534782608695641
Neither,212.33333333333334,212.36666666666667,3.7520833333333368
SC,212.36666666666667,236.23333333333332,10.534782608695641
Neither,236.23333333333332,237.46666666666667,3.7520833333333368
SC,237.46666666666667,241.76666666666668,10.534782608695641
Neither,241.76666666666668,242.63333333333333,3.7520833333333368
SC,242.63333333333333,258.06666666666666,10.534782608695641
Neither,258.06666666666666,259.56666666666666,3.7520833333333368
SC,259.56666666666666,262.73333333333335,10.534782608695641
Neither,262.73333333333335,268.4,3.7520833333333368
NSC,268.4,272.4,56.37666666666668
Neither,272.4,274.5,3.7520833333333368
NSC,274.5,278.23333333333335,56.37666666666668
Neither,278.23333333333335,287.2,3.7520833333333368
SC,287.2,292.9,10.534782608695641
Neither,292.9,295.8,3.7520833333333368
SC,295.8,299.6333333333333,10.534782608695641
Neither,299.6333333333333,312.2,3.7520833333333368
SC,312.2,329.73333333333335,10.534782608695641
Neither,329.73333333333335,342.8333333333333,3.7520833333333368
NSC,342.8333333333333,435.6,56.37666666666668
Neither,435.6,438.5,3.7520833333333368
NSC,438.5,445.53333333333336,56.37666666666668
Neither,445.53333333333336,456.6333333333333,3.7520833333333368
SC,456.6333333333333,468.3666666666667,10.534782608695641
Neither,468.3666666666667,471.1333333333333,3.7520833333333368
SC,471.1333333333333,485.8666666666667,10.534782608695641
Neither,485.8666666666667,487.7,3.7520833333333368
SC,487.7,497.6666666666667,10.534782608695641
Neither,497.6666666666667,501.46666666666664,3.7520833333333368
SC,501.46666666666664,504.73333333333335,10.534782608695641
Neither,504.73333333333335,507.26666666666665,3.7520833333333368
SC,507.26666666666665,515.5333333333333,10.534782608695641
Neither,515.5333333333333,516.7,3.7520833333333368
SC,516.7,519.5333333333333,10.534782608695641
Neither,519.5333333333333,530.1,3.7520833333333368
NSC,530.1,537.0,56.37666666666668
Neither,537.0,538.5333333333333,3.7520833333333368
NSC,538.5333333333333,545.2,56.37666666666668
Neither,545.2,552.6,3.7520833333333368
SC,552.6,556.6,10.534782608695641
Neither,556.6,560.3333333333334,3.7520833333333368
SC,560.3333333333334,585.1666666666666,10.534782608695641
Neither,585.1666666666666,585.8666666666667,3.7520833333333368
SC,585.8666666666667,594.3,10.534782608695641
Neither,594.3,597.5333333333333,3.7520833333333368
SC,597.5333333333333,605.6333333333333,10.534782608695641
Neither,605.6333333333333,606.5666666666667,3.7520833333333368
SC,606.5666666666667,616.5333333333333,10.534782608695641
Neither,616.5333333333333,616.9666666666667,3.7520833333333368
SC,616.9666666666667,624.0333333333333,10.534782608695641
Neither,624.0333333333333,624.2,3.7520833333333368
SC,624.2,625.3333333333334,10.534782608695641
Neither,625.3333333333334,626.0666666666667,3.7520833333333368
NSC,626.0666666666667,628.2666666666667,56.37666666666668
Neither,628.2666666666667,629.1666666666666,3.7520833333333368
NSC,629.1666666666666,926.1333333333333,56.37666666666668
